type,date,time,input_datasize_bytes,duration_s,throughput_bytes_s,throughput_per_node_bytes_s,cpu_used_percent,ram_used_bytes,disk_read_bytes_s,disk_write_bytes_s,network_receive_bytes_s,network_transmit_bytes_s,num_nodes,num_executors,executor_cores,executor_memory_mb,input_split_mb,buffer_kb,max_size_in_flight_mb,parallelism,date,time
ScalaSparkWordcount,2024-12-07,14:18:11,1093314040,55.598,19664628,19664628,21.869999999999738,749908650.6666666,10784208.213333335,1527525.8311111112,8783205.200833334,8332276.706666667,1,2,1,640m,128.0,,,,2024-12-07,14:18:11
ScalaSparkWordcount,2024-12-07,14:20:26,1093314040,54.987,19883136,19883136,25.24333333333364,829715797.3333334,11169355.093333334,3302541.084444444,10254491.646666666,9073677.691666668,1,2,1,640m,256.0,,,,2024-12-07,14:20:26
ScalaSparkWordcount,2024-12-07,14:21:55,1093314040,55.187,19811079,19811079,22.020833333333787,763348992.0,10769189.546666665,1562205.2977777778,8780934.014166668,8308770.0975,1,2,1,640m,512.0,,,,2024-12-07,14:21:55
ScalaSparkWordcount,2024-12-07,14:24:03,1093314040,55.203,19805337,19805337,23.272500000000036,769029802.6666666,10242912.711111112,4139631.5022222227,9873789.0175,8605225.165000001,1,2,1,640m,1024.0,,,,2024-12-07,14:24:03
ScalaSparkWordcount,2024-12-07,14:25:29,1093314040,53.627,20387380,20387380,22.694545454545402,690568098.9090909,11706462.332121214,1558724.1115151516,9435297.958181817,9014860.15090909,1,2,1,640m,,,,4.0,2024-12-07,14:25:29
ScalaSparkWordcount,2024-12-07,14:27:28,1093314040,53.615,20391943,20391943,23.202727272727397,792498176.0,11440202.472727273,2558153.076363636,10164465.792727273,9205752.952727271,1,2,1,640m,,,,8.0,2024-12-07,14:27:28
ScalaSparkWordcount,2024-12-07,14:28:58,1093314040,53.286,20517847,20517847,22.226363636363114,671326952.7272727,11586988.218181819,2637218.2884848486,9625188.623636363,8975959.65909091,1,2,1,640m,,,,10.0,2024-12-07,14:28:58
ScalaSparkWordcount,2024-12-07,14:30:32,1093314040,53.767,20334295,20334295,24.509090909090848,686865314.9090909,12420566.971043771,1844910.1144781145,10069304.452525252,9510901.901010102,1,2,1,640m,,,,12.0,2024-12-07,14:30:33
ScalaSparkWordcount,2024-12-07,14:36:00,5466536260,123.524,44254851,44254851,42.51000000000009,1213878108.16,26465230.848000005,3279032.775111112,22089896.55416667,20838633.09266667,1,2,1,640m,128.0,,,,2024-12-07,14:36:01
ScalaSparkWordcount,2024-12-07,14:38:18,5466536260,123.451,44281020,44281020,41.19616666666641,1170843893.76,25827364.40888889,3076319.914666667,21427271.3705,20245122.105833333,1,2,1,640m,256.0,,,,2024-12-07,14:38:19
ScalaSparkWordcount,2024-12-07,14:40:37,5466536260,118.037,46312056,46312056,37.64943181818188,1133457578.6666667,24614054.529292926,2874558.319191919,20410053.341287877,19309034.587689396,1,2,1,640m,512.0,,,,2024-12-07,14:40:37
ScalaSparkWordcount,2024-12-07,14:43:07,5466536260,120.699,45290650,45290650,41.826086956521614,1210434191.36,26413977.06573913,3253352.358956522,22032551.223652173,20748163.213043477,1,2,1,640m,1024.0,,,,2024-12-07,14:43:07
ScalaSparkWordcount,2024-12-07,14:45:28,5466536260,125.225,43653713,43653713,44.154967948717996,1262151995.0769231,27697721.326495733,3344912.629059829,23082565.016506415,21802874.572115384,1,2,1,640m,,,,4.0,2024-12-07,14:45:28
ScalaSparkWordcount,2024-12-07,14:47:39,5466536260,120.858,45231066,45231066,36.82469565217401,1145622855.68,23386719.157797102,2801226.1435362324,19564950.789391305,18504306.958434783,1,2,1,640m,,,,8.0,2024-12-07,14:47:40
