num_nodes,num_executors,executor_cores,executor_memory_mb,input_split_mb,buffer_kb,max_size_in_flight_mb,parallelism,date,time
1,2,1,640m,128.0,,,,2024-12-07,14:18:11
1,2,1,640m,256.0,,,,2024-12-07,14:20:26
1,2,1,640m,512.0,,,,2024-12-07,14:21:55
1,2,1,640m,1024.0,,,,2024-12-07,14:24:03
1,2,1,640m,,,,4.0,2024-12-07,14:25:29
1,2,1,640m,,,,8.0,2024-12-07,14:27:28
1,2,1,640m,,,,10.0,2024-12-07,14:28:58
1,2,1,640m,,,,12.0,2024-12-07,14:30:33
1,2,1,640m,128.0,,,,2024-12-07,14:36:01
1,2,1,640m,256.0,,,,2024-12-07,14:38:19
1,2,1,640m,512.0,,,,2024-12-07,14:40:37
1,2,1,640m,1024.0,,,,2024-12-07,14:43:07
1,2,1,640m,,,,4.0,2024-12-07,14:45:28
1,2,1,640m,,,,8.0,2024-12-07,14:47:40
1,2,1,640m,,,,10.0,2024-12-07,14:50:15
1,2,1,640m,,,,12.0,2024-12-07,14:52:31
1,2,1,640m,128.0,,,,2024-12-07,15:04:31
1,2,1,640m,256.0,,,,2024-12-07,15:08:08
1,2,1,640m,512.0,,,,2024-12-07,15:27:18
1,2,1,640m,1024.0,,,,2024-12-07,15:31:08
1,2,1,640m,,,,4.0,2024-12-07,15:36:09
1,2,1,640m,,,,8.0,2024-12-07,15:51:38
1,2,1,640m,,,,10.0,2024-12-07,15:56:14
1,2,1,640m,,,,12.0,2024-12-07,16:00:21
1,2,1,640m,128.0,,,,2024-12-07,16:08:58
1,2,1,640m,256.0,,,,2024-12-07,16:14:06
1,2,1,640m,512.0,,,,2024-12-07,16:20:31
1,2,1,640m,1024.0,,,,2024-12-07,16:25:22
1,2,1,640m,,,,4.0,2024-12-07,16:30:51
1,2,1,640m,,,,8.0,2024-12-07,16:36:10
1,2,1,640m,,,,10.0,2024-12-07,16:41:02
1,2,1,640m,,,,12.0,2024-12-07,16:46:20
1,2,1,640m,128.0,,,,2024-12-07,17:04:00
1,2,1,640m,256.0,,,,2024-12-07,17:11:38
1,2,1,640m,512.0,,,,2024-12-07,17:17:33
1,2,1,640m,1024.0,,,,2024-12-07,17:23:33
1,2,1,640m,,,,4.0,2024-12-07,17:30:08
1,2,1,640m,,,,8.0,2024-12-07,17:36:58
1,2,1,640m,,,,10.0,2024-12-07,17:44:20
1,2,1,640m,,,,12.0,2024-12-07,17:51:12
1,2,1,640m,128.0,,,,2024-12-07,18:06:15
1,2,1,640m,256.0,,,,2024-12-07,18:15:30
1,2,1,640m,512.0,,,,2024-12-07,18:26:50
1,2,1,640m,1024.0,,,,2024-12-07,18:36:07
1,2,1,640m,,,,4.0,2024-12-07,19:06:03
1,2,1,640m,,,,8.0,2024-12-07,20:34:06
1,2,1,640m,,,,10.0,2024-12-07,20:42:35
1,2,1,640m,,,,12.0,2024-12-07,20:50:10
1,2,1,640m,128.0,,,,2024-12-07,23:44:25
1,2,1,640m,256.0,,,,2024-12-07,23:54:33
1,2,1,640m,1024.0,,,,2024-12-08,00:12:41
1,2,1,640m,512.0,,,,2024-12-08,01:28:24
1,2,1,640m,,,,4.0,2024-12-08,01:42:26
1,2,1,640m,,,,8.0,2024-12-08,01:52:01
1,2,1,640m,,,,10.0,2024-12-08,02:31:38
1,2,1,640m,,,,12.0,2024-12-08,02:41:00
2,4,1,640m,128.0,,,,2024-12-08,02:53:22
2,4,1,640m,256.0,,,,2024-12-08,02:56:01
2,4,1,640m,512.0,,,,2024-12-08,02:57:16
2,4,1,640m,1024.0,,,,2024-12-08,02:58:29
2,4,1,640m,,,,4.0,2024-12-08,02:59:41
2,4,1,640m,,,,8.0,2024-12-08,03:00:44
2,4,1,640m,,,,10.0,2024-12-08,03:01:50
2,4,1,640m,,,,12.0,2024-12-08,03:03:11
2,4,1,640m,128.0,,,,2024-12-08,03:06:21
2,4,1,640m,256.0,,,,2024-12-08,03:08:26
2,4,1,640m,512.0,,,,2024-12-08,03:10:10
2,4,1,640m,1024.0,,,,2024-12-08,03:12:02
2,4,1,640m,,,,4.0,2024-12-08,03:13:49
2,4,1,640m,,,,8.0,2024-12-08,03:15:36
2,4,1,640m,,,,10.0,2024-12-08,03:17:13
2,4,1,640m,,,,12.0,2024-12-08,03:18:51
2,4,1,640m,128.0,,,,2024-12-08,03:23:33
2,4,1,640m,512.0,,,,2024-12-08,03:26:04
2,4,1,640m,256.0,,,,2024-12-08,03:28:57
2,4,1,640m,1024.0,,,,2024-12-08,03:31:50
2,4,1,640m,,,,4.0,2024-12-08,03:36:03
2,4,1,640m,,,,8.0,2024-12-08,03:38:42
2,4,1,640m,,,,10.0,2024-12-08,03:41:08
2,4,1,640m,,,,12.0,2024-12-08,03:44:42
2,4,1,640m,128.0,,,,2024-12-08,03:50:30
2,4,1,640m,256.0,,,,2024-12-08,03:54:01
2,4,1,640m,512.0,,,,2024-12-08,03:57:22
2,4,1,640m,1024.0,,,,2024-12-08,04:00:40
2,4,1,640m,,,,4.0,2024-12-08,04:05:12
2,4,1,640m,,,,8.0,2024-12-08,04:08:29
2,4,1,640m,,,,10.0,2024-12-08,04:12:13
2,4,1,640m,,,,12.0,2024-12-08,04:16:46
2,4,1,640m,128.0,,,,2024-12-08,04:27:27
2,4,1,640m,256.0,,,,2024-12-08,09:16:32
2,4,1,640m,512.0,,,,2024-12-08,09:20:35
2,4,1,640m,1024.0,,,,2024-12-08,09:26:16
2,4,1,640m,,,,4.0,2024-12-08,09:30:14
2,4,1,640m,,,,8.0,2024-12-08,09:41:20
2,4,1,640m,,,,10.0,2024-12-08,10:05:13
2,4,1,640m,,,,12.0,2024-12-08,10:09:34
2,4,1,640m,128.0,,,,2024-12-08,10:25:57
2,4,1,640m,256.0,,,,2024-12-08,10:32:15
2,4,1,640m,512.0,,,,2024-12-08,10:37:43
2,4,1,640m,1024.0,,,,2024-12-08,10:43:39
2,4,1,640m,,,,4.0,2024-12-08,10:51:02
2,4,1,640m,,,,8.0,2024-12-08,10:56:19
2,4,1,640m,,,,10.0,2024-12-08,11:04:57
2,4,1,640m,,,,12.0,2024-12-08,11:10:48
2,4,1,640m,128.0,,,,2024-12-08,11:34:27
2,4,1,640m,256.0,,,,2024-12-08,11:44:05
2,4,1,640m,512.0,,,,2024-12-08,11:52:56
2,4,1,640m,1024.0,,,,2024-12-08,11:59:36
2,4,1,640m,,,,4.0,2024-12-08,12:06:47
2,4,1,640m,,,,8.0,2024-12-08,12:13:04
2,4,1,640m,,,,10.0,2024-12-08,12:19:41
2,4,1,640m,,,,12.0,2024-12-08,12:27:53
1,2,1,640m,128.0,,,,2024-12-09,13:21:27
1,2,1,640m,256.0,,,,2024-12-09,13:22:49
1,2,1,640m,512.0,,,,2024-12-09,13:24:11
1,2,1,640m,1024.0,,,,2024-12-09,13:25:33
1,2,1,640m,,16k,32m,,2024-12-09,13:42:42
1,2,1,640m,,32k,48m,,2024-12-09,13:44:04
1,2,1,640m,,48k,64m,,2024-12-09,13:45:25
1,2,1,640m,,64k,96m,,2024-12-09,13:46:47
1,2,1,640m,128.0,,,,2024-12-09,13:53:06
1,2,1,640m,256.0,,,,2024-12-09,13:57:05
1,2,1,640m,512.0,,,,2024-12-09,14:01:07
1,2,1,640m,1024.0,,,,2024-12-09,14:05:14
1,2,1,640m,,16k,32m,,2024-12-09,14:09:23
1,2,1,640m,,32k,48m,,2024-12-09,14:13:29
1,2,1,640m,,48k,64m,,2024-12-09,14:17:33
1,2,1,640m,,64k,96m,,2024-12-09,14:21:40
1,2,1,640m,128.0,,,,2024-12-09,14:33:08
1,2,1,640m,256.0,,,,2024-12-09,14:40:38
1,2,1,640m,512.0,,,,2024-12-09,14:48:11
1,2,1,640m,1024.0,,,,2024-12-09,14:55:38
1,2,1,640m,,16k,32m,,2024-12-09,15:26:34
1,2,1,640m,,32k,48m,,2024-12-09,15:34:07
1,2,1,640m,,48k,64m,,2024-12-09,15:41:39
1,2,1,640m,,64k,96m,,2024-12-09,16:10:55
1,2,1,640m,128.0,,,,2024-12-09,19:13:54
1,2,1,640m,256.0,,,,2024-12-09,19:25:54
1,2,1,640m,512.0,,,,2024-12-09,19:36:38
1,2,1,640m,1024.0,,,,2024-12-09,19:47:51
1,2,1,640m,,16k,32m,,2024-12-09,19:58:59
1,2,1,640m,,32k,48m,,2024-12-09,20:09:56
1,2,1,640m,,48k,64m,,2024-12-09,20:20:58
1,2,1,640m,,64k,96m,,2024-12-09,20:31:56
1,2,1,640m,128.0,,,,2024-12-09,20:52:40
1,2,1,640m,256.0,,,,2024-12-09,21:08:21
1,2,1,640m,512.0,,,,2024-12-09,21:23:54
1,2,1,640m,1024.0,,,,2024-12-09,21:41:10
1,2,1,640m,,16k,32m,,2024-12-09,21:56:36
1,2,1,640m,,32k,48m,,2024-12-09,22:12:59
1,2,1,640m,,48k,64m,,2024-12-09,22:28:38
1,2,1,640m,,64k,96m,,2024-12-09,22:44:48
1,2,1,640m,128.0,,,,2024-12-10,02:23:11
1,2,1,640m,256.0,,,,2024-12-10,02:40:31
1,2,1,640m,512.0,,,,2024-12-10,02:57:58
1,2,1,640m,1024.0,,,,2024-12-10,03:15:35
1,2,1,640m,,16k,32m,,2024-12-10,03:33:12
1,2,1,640m,,32k,48m,,2024-12-10,03:50:57
1,2,1,640m,,48k,64m,,2024-12-10,04:09:22
1,2,1,640m,,64k,96m,,2024-12-10,04:27:46
1,2,1,640m,128.0,,,,2024-12-10,07:57:05
1,2,1,640m,256.0,,,,2024-12-10,08:20:07
1,2,1,640m,512.0,,,,2024-12-10,08:41:48
1,2,1,640m,1024.0,,,,2024-12-10,09:03:20
1,2,1,640m,,16k,32m,,2024-12-10,09:24:31
1,2,1,640m,,32k,48m,,2024-12-10,09:45:25
1,2,1,640m,,48k,64m,,2024-12-10,10:06:35
1,2,1,640m,,64k,96m,,2024-12-10,10:27:42
2,4,1,640m,128.0,,,,2024-12-10,14:56:09
2,4,1,640m,256.0,,,,2024-12-10,15:04:39
2,4,1,640m,512.0,,,,2024-12-10,15:12:53
2,4,1,640m,1024.0,,,,2024-12-10,15:22:42
2,4,1,640m,,16k,32m,,2024-12-10,15:31:12
2,4,1,640m,,32k,48m,,2024-12-10,15:39:35
2,4,1,640m,,48k,64m,,2024-12-10,15:47:46
2,4,1,640m,,64k,96m,,2024-12-10,15:56:10
2,4,1,640m,128.0,,,,2024-12-10,16:06:48
2,4,1,640m,256.0,,,,2024-12-10,16:08:06
2,4,1,640m,512.0,,,,2024-12-10,16:09:24
2,4,1,640m,1024.0,,,,2024-12-10,16:10:40
2,4,1,640m,,16k,32m,,2024-12-10,16:11:51
2,4,1,640m,,32k,48m,,2024-12-10,16:13:02
2,4,1,640m,,48k,64m,,2024-12-10,16:14:12
2,4,1,640m,,64k,96m,,2024-12-10,16:15:24
2,4,1,640m,128.0,,,,2024-12-10,16:57:16
2,4,1,640m,256.0,,,,2024-12-10,17:00:31
2,4,1,640m,512.0,,,,2024-12-10,17:03:44
2,4,1,640m,1024.0,,,,2024-12-10,17:07:06
2,4,1,640m,,16k,32m,,2024-12-10,17:10:10
2,4,1,640m,,32k,48m,,2024-12-10,17:13:18
2,4,1,640m,,48k,64m,,2024-12-10,17:16:22
2,4,1,640m,,64k,96m,,2024-12-10,17:19:32
2,4,1,640m,128.0,,,,2024-12-10,17:28:08
2,4,1,640m,256.0,,,,2024-12-10,17:33:49
2,4,1,640m,512.0,,,,2024-12-10,17:39:35
2,4,1,640m,1024.0,,,,2024-12-10,17:45:39
2,4,1,640m,,16k,32m,,2024-12-10,17:51:20
2,4,1,640m,,32k,48m,,2024-12-10,17:56:58
2,4,1,640m,,48k,64m,,2024-12-10,18:02:57
2,4,1,640m,,64k,96m,,2024-12-10,18:08:42
2,4,1,640m,128.0,,,,2024-12-10,18:25:22
2,4,1,640m,256.0,,,,2024-12-10,18:36:06
2,4,1,640m,512.0,,,,2024-12-10,18:47:25
2,4,1,640m,1024.0,,,,2024-12-10,18:59:50
2,4,1,640m,,16k,32m,,2024-12-10,19:10:23
2,4,1,640m,,32k,48m,,2024-12-10,19:21:19
2,4,1,640m,,48k,64m,,2024-12-10,19:33:54
2,4,1,640m,,64k,96m,,2024-12-10,19:45:32
2,4,1,640m,128.0,,,,2024-12-10,20:02:47
2,4,1,640m,256.0,,,,2024-12-10,20:16:11
2,4,1,640m,512.0,,,,2024-12-10,20:30:04
2,4,1,640m,1024.0,,,,2024-12-10,20:45:55
2,4,1,640m,,16k,32m,,2024-12-10,21:04:23
2,4,1,640m,,32k,48m,,2024-12-10,21:17:11
2,4,1,640m,,48k,64m,,2024-12-10,21:30:19
2,4,1,640m,,64k,96m,,2024-12-11,00:31:00
2,4,1,640m,128.0,,,,2024-12-11,01:31:23
2,4,1,640m,256.0,,,,2024-12-11,01:45:07
2,4,1,640m,512.0,,,,2024-12-11,01:59:29
2,4,1,640m,1024.0,,,,2024-12-11,02:14:47
2,4,1,640m,,16k,32m,,2024-12-11,02:28:53
2,4,1,640m,,32k,48m,,2024-12-11,02:43:23
2,4,1,640m,,48k,64m,,2024-12-11,02:58:53
2,4,1,640m,,64k,96m,,2024-12-11,03:14:20
